rank,feature_index,feature,coef_std,abscoef_std,cluster_size,cluster_root
296,2009,so W30p0 EOF10 lag18,-0.014897491662222461,0.014897491662222461,1,2009
297,1766,so W40p0 EOF7 lag20,-0.014893496249941851,0.014893496249941851,1,1766
298,1778,so W40p0 EOF9 lag21,-0.014884094099564479,0.014884094099564479,1,1778
299,2463,so W10p0 EOF4 lag12,0.014866945699504452,0.014866945699504452,1,2463
300,313,thetao W40p0 EOF4 lag5,0.01483576818699829,0.01483576818699829,1,313
301,949,thetao W20p0 EOF10 lag16,-0.014816941833318857,0.014816941833318857,1,949
302,1196,thetao W10p0 EOF7 lag15,0.01480920429465984,0.01480920429465984,1,1196
303,1016,thetao W20p0 EOF7 lag23,0.014796810877346337,0.014796810877346337,1,1016
304,1035,thetao W20p0 EOF6 lag25,0.014794882915282305,0.014794882915282305,1,1035
305,1609,so W40p0 EOF10 lag4,-0.014732586545963752,0.014732586545963752,1,1609
306,1894,so W30p0 EOF5 lag7,-0.014710033457196401,0.014710033457196401,1,1894
307,786,thetao W20p0 EOF7 lag0,0.014708777950810189,0.014708777950810189,1,786
308,1558,so W60p0 EOF9 lag25,0.014708305749518877,0.014708305749518877,1,1558
309,1078,thetao W10p0 EOF9 lag3,0.01466977577187644,0.01466977577187644,1,1078
310,545,thetao W30p0 EOF6 lag2,0.014625491847021622,0.014625491847021622,1,545
311,165,thetao W60p0 EOF6 lag16,-0.014621204331171095,0.014621204331171095,1,165
312,1331,so W60p0 EOF2 lag3,-0.01461397096116852,0.01461397096116852,1,1331
313,428,thetao W40p0 EOF9 lag16,0.014564533670862656,0.014564533670862656,1,428
